"Date","Rate"
Jul 2010,0.16
Aug 2010,0.16
Sep 2010,0.15
Oct 2010,0.13
Nov 2010,0.14
Dec 2010,0.14
Jan 2011,0.15
Feb 2011,0.13
Mar 2011,0.1
Apr 2011,0.06
May 2011,0.04
Jun 2011,0.04
Jul 2011,0.04
Aug 2011,0.02
Sep 2011,0.01
Oct 2011,0.02
Nov 2011,0.01
Dec 2011,0.01
Jan 2012,0.03
Feb 2012,0.09
Mar 2012,0.08
Apr 2012,0.08
May 2012,0.09
Jun 2012,0.09
Jul 2012,0.1
Aug 2012,0.1
Sep 2012,0.11
Oct 2012,0.1
Nov 2012,0.09
Dec 2012,0.07
Jan 2013,0.07
Feb 2013,0.1
Mar 2013,0.09
Apr 2013,0.06
May 2013,0.04
Jun 2013,0.05
Jul 2013,0.04
Aug 2013,0.04
Sep 2013,0.02
Oct 2013,0.05
Nov 2013,0.07
Dec 2013,0.07
Jan 2014,0.04
Feb 2014,0.05
Mar 2014,0.05
Apr 2014,0.03
May 2014,0.03
Jun 2014,0.04
Jul 2014,0.03
Aug 2014,0.03
